fid,f_url,f_heading,f_subheading,num_topics,num_posts,last_post_date,last_post_uid
151,/discussion.aspx?g=topics&f=151,Caregivers Forum,"A place to connect if you are a spouse, an adult child, a grandchild, a neighbor or a friend.",33283,243718,"Tuesday, February 16, 2021 6:16 PM",2147763602
2147485438,/discussion.aspx?g=topics&f=2147485438,Spouse or Partner Caregiver Forum,"Although all caregivers face some common issues, there are unique experiences faced by spouses and partners. Here you will find others who share those experiences.",18349,200393,"Tuesday, February 16, 2021 6:29 PM",2147751955
160,/discussion.aspx?g=topics&f=160,I Have Alzheimer’s or Another Dementia,"If you have Alzheimer's or another dementia, this forum is for you.",808,4682,"Monday, February 15, 2021 5:14 PM",2147484334
152,/discussion.aspx?g=topics&f=152,Younger-Onset AD or Other Dementia,"If you are under age 65 and have Alzheimer's disease or another dementia, use this forum to connect with others in the same situation.",3825,32808,"Sunday, February 14, 2021 12:39 PM",2147484334
2147806999,/discussion.aspx?g=topics&f=2147806999,LGBT Community and Allies,A place to connect for those facing issues affecting the LGBT community.,97,307,"Thursday, February 4, 2021 1:53 PM",2147755133
162,/discussion.aspx?g=topics&f=162,Clinical Trials,"Discuss questions, issues and concerns about FDA-approved treatments for Alzheimer’s disease and clinical trials focusing on Alzheimer’s disease and related dementias.",1170,4985,"Monday, February 15, 2021 10:54 AM",2147484272
155,/discussion.aspx?g=topics&f=155,Discusiones en Español,Discuta sus asuntos y precupaciones en español. Este foro es controlado por los consultores Hispanohablantes de cuidado de la Alzheimer's Association.,48,98,"Tuesday, January 26, 2021 9:02 PM",2147761896
461,/discussion.aspx?g=topics&f=461,Caregivers Who Have Lost Someone,Seek support and express your thoughts about losing someone to Alzheimer’s disease or a related dementia.,1171,7537,"Tuesday, February 16, 2021 9:37 AM",2147538499
157,/discussion.aspx?g=topics&f=157,Musings,"A place to reflect and share your stories, insights and observations.",2976,9221,"Tuesday, February 16, 2021 12:13 AM",2147615996
2147501741,/discussion.aspx?g=topics&f=2147501741,ALZConnected News You Can Use,Check in for news and updates about ALZConnected!,9,0,-,-
